# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D 眼镜佩戴方式设计
gid://shopify/TaxonomyAttribute/5399  : 3D 眼镜技术
gid://shopify/TaxonomyAttribute/5365  : 3D 打印机箱壳样式
gid://shopify/TaxonomyAttribute/5366  : 3D 打印机清洁套件包含的组件
gid://shopify/TaxonomyAttribute/5370  : 3D 打印树脂类型
gid://shopify/TaxonomyAttribute/5668  : 80 Plus 能效等级
gid://shopify/TaxonomyAttribute/6976  : ABEC 评级
gid://shopify/TaxonomyAttribute/8005  : 空调压缩机安装方式
gid://shopify/TaxonomyAttribute/8006  : 空调压缩机油类型
gid://shopify/TaxonomyAttribute/5507  : ADC 分辨率
gid://shopify/TaxonomyAttribute/2649  : AI 应用程序
gid://shopify/TaxonomyAttribute/7015  : ART 安全等级
gid://shopify/TaxonomyAttribute/7017  : ASA 安装类型
gid://shopify/TaxonomyAttribute/2703  : ATV/越野轮胎类型
gid://shopify/TaxonomyAttribute/8045  : 全地形车/多功能车预期用途
gid://shopify/TaxonomyAttribute/6336  : 算珠材质
gid://shopify/TaxonomyAttribute/8004  : 研磨程度
gid://shopify/TaxonomyAttribute/2184  : 研磨材料
gid://shopify/TaxonomyAttribute/7610  : 包括苦艾酒配件
gid://shopify/TaxonomyAttribute/1460  : 苦艾酒款式
gid://shopify/TaxonomyAttribute/1461  : 苦艾酒品种
gid://shopify/TaxonomyAttribute/894   : 吸水性等级
gid://shopify/TaxonomyAttribute/2972  : 吸水卫生用品特点
gid://shopify/TaxonomyAttribute/2529  : 学术水平
gid://shopify/TaxonomyAttribute/8942  : 音色模式
gid://shopify/TaxonomyAttribute/6859  : 上床机制
gid://shopify/TaxonomyAttribute/4996  : 无障碍设计功能
gid://shopify/TaxonomyAttribute/8007  : 无障碍功能
gid://shopify/TaxonomyAttribute/6860  : 包括配件
gid://shopify/TaxonomyAttribute/2956  : 配件材质
gid://shopify/TaxonomyAttribute/6635  : 包括配件部件
gid://shopify/TaxonomyAttribute/50    : 配件尺寸
gid://shopify/TaxonomyAttribute/2461  : 手风琴调音
gid://shopify/TaxonomyAttribute/8943  : 原声扩音器反馈控制功能
gid://shopify/TaxonomyAttribute/8944  : 包括原声架子鼓/爵士鼓套件组件
gid://shopify/TaxonomyAttribute/8945  : 原声吉他琴体形状
gid://shopify/TaxonomyAttribute/8946  : 原声吉他弦芯设计
gid://shopify/TaxonomyAttribute/8947  : 原声钢琴键面材质
gid://shopify/TaxonomyAttribute/8948  : 原声钢琴琴盖类型
gid://shopify/TaxonomyAttribute/8949  : 原声钢琴铁板/框架材质
gid://shopify/TaxonomyAttribute/8950  : 原声钢琴音板材质
gid://shopify/TaxonomyAttribute/6337  : 可动人偶比例
gid://shopify/TaxonomyAttribute/6977  : 动作类型
gid://shopify/TaxonomyAttribute/5052  : 激活机制
gid://shopify/TaxonomyAttribute/4997  : 激活方法
gid://shopify/TaxonomyAttribute/1598  : 活性成分
gid://shopify/TaxonomyAttribute/2995  : 运动服特点
gid://shopify/TaxonomyAttribute/5     : 活动
gid://shopify/TaxonomyAttribute/1547  : 活动追踪器设计
gid://shopify/TaxonomyAttribute/6978  : 驱动机制
gid://shopify/TaxonomyAttribute/8008  : 驱动方式
gid://shopify/TaxonomyAttribute/1543  : 针灸模型形态
gid://shopify/TaxonomyAttribute/1544  : 针灸模型类型
gid://shopify/TaxonomyAttribute/5562  : 适配器方向性
gid://shopify/TaxonomyAttribute/5424  : 适配器操作模式
gid://shopify/TaxonomyAttribute/6979  : 适配器方向
gid://shopify/TaxonomyAttribute/5391  : 自适应同步技术
gid://shopify/TaxonomyAttribute/3376  : 其他动画软件功能
gid://shopify/TaxonomyAttribute/5144  : 其他清洁技术
gid://shopify/TaxonomyAttribute/3378  : 其他设计软件类型
gid://shopify/TaxonomyAttribute/3373  : 其他财务软件功能
gid://shopify/TaxonomyAttribute/3377  : 其他图形软件功能
gid://shopify/TaxonomyAttribute/3379  : 其他排版软件功能
gid://shopify/TaxonomyAttribute/3372  : 其他安全软件功能
gid://shopify/TaxonomyAttribute/8951  : 添加剂应用阶段
gid://shopify/TaxonomyAttribute/5249  : 粘合剂应用类型
gid://shopify/TaxonomyAttribute/8952  : 背胶
gid://shopify/TaxonomyAttribute/5099  : 粘合剂特征
gid://shopify/TaxonomyAttribute/5531  : 粘合剂形式
gid://shopify/TaxonomyAttribute/6980  : 粘合剂配方
gid://shopify/TaxonomyAttribute/8953  : 粘合面
gid://shopify/TaxonomyAttribute/5207  : 粘合强度
gid://shopify/TaxonomyAttribute/2319  : 粘合剂类型
gid://shopify/TaxonomyAttribute/8954  : 辅助谷物加工形态
gid://shopify/TaxonomyAttribute/8009  : 可调节类型
gid://shopify/TaxonomyAttribute/8955  : 可调节杯型弱音器
gid://shopify/TaxonomyAttribute/6861  : 可调节区域
gid://shopify/TaxonomyAttribute/8010  : 调整类型
gid://shopify/TaxonomyAttribute/6981  : 给药方法
gid://shopify/TaxonomyAttribute/8956  : 建议卡提示类型
gid://shopify/TaxonomyAttribute/6982  : 增氧方式
gid://shopify/TaxonomyAttribute/8011  : 空气动力学套件组件
gid://shopify/TaxonomyAttribute/8012  : 包括空气动力学元件
gid://shopify/TaxonomyAttribute/3354  : 须后产品形态
gid://shopify/TaxonomyAttribute/8957  : 触后支持
gid://shopify/TaxonomyAttribute/7611  : 龙舌兰含量分类
gid://shopify/TaxonomyAttribute/30    : 年龄段
gid://shopify/TaxonomyAttribute/2274  : 年龄限制
gid://shopify/TaxonomyAttribute/8958  : 阿依达布支数
gid://shopify/TaxonomyAttribute/8959  : 阿依达布预裁切形式
gid://shopify/TaxonomyAttribute/6338  : 包括空气和水火箭套件部件
gid://shopify/TaxonomyAttribute/6339  : 空气/水火箭发射方式
gid://shopify/TaxonomyAttribute/8960  : 气囊材质
gid://shopify/TaxonomyAttribute/6862  : 气垫床内部结构
gid://shopify/TaxonomyAttribute/2708  : 空气清新剂形式
gid://shopify/TaxonomyAttribute/5689  : 空气炸锅配件类型
gid://shopify/TaxonomyAttribute/4050  : 空气炸锅功能
gid://shopify/TaxonomyAttribute/6983  : 包括空气曲棍球部件
gid://shopify/TaxonomyAttribute/8013  : 进气温度传感器安装方式
gid://shopify/TaxonomyAttribute/6984  : 气体整合功能
gid://shopify/TaxonomyAttribute/3182  : 充气床垫特点
gid://shopify/TaxonomyAttribute/6985  : 充气床垫阀门类型
gid://shopify/TaxonomyAttribute/5690  : 空气净化器过滤技术
gid://shopify/TaxonomyAttribute/5691  : 空气净化器过滤等级
gid://shopify/TaxonomyAttribute/5103  : 充气管配置
gid://shopify/TaxonomyAttribute/8961  : 风干粘土颜色形式
gid://shopify/TaxonomyAttribute/8014  : 安全气囊位置
gid://shopify/TaxonomyAttribute/3329  : 喷枪进料类型
gid://shopify/TaxonomyAttribute/3328  : 喷枪操作方法
gid://shopify/TaxonomyAttribute/8015  : 飞机 ADS-B 能力
gid://shopify/TaxonomyAttribute/8016  : 飞机机身材料
gid://shopify/TaxonomyAttribute/8017  : 飞机客舱配置
gid://shopify/TaxonomyAttribute/8018  : 包括飞机文件
gid://shopify/TaxonomyAttribute/4683  : 飞机发动机配置
gid://shopify/TaxonomyAttribute/4682  : 飞机发动机类型
gid://shopify/TaxonomyAttribute/8019  : 飞机厨房配置
gid://shopify/TaxonomyAttribute/8020  : 飞机安装位置
gid://shopify/TaxonomyAttribute/8021  : 飞机互联网连接
gid://shopify/TaxonomyAttribute/8022  : 飞机起落架类型
gid://shopify/TaxonomyAttribute/8023  : 飞机洗手间配置
gid://shopify/TaxonomyAttribute/8024  : 飞机维修计划报名情况
gid://shopify/TaxonomyAttribute/8025  : 飞机运营认证
gid://shopify/TaxonomyAttribute/8026  : 飞机防护装备认证
gid://shopify/TaxonomyAttribute/8027  : 飞机系统应用
gid://shopify/TaxonomyAttribute/5211  : 气流开口设计
gid://shopify/TaxonomyAttribute/8962  : 气流阻力等级
gid://shopify/TaxonomyAttribute/8028  : 飞艇气囊材质
gid://shopify/TaxonomyAttribute/6986  : 气枪零件类型
gid://shopify/TaxonomyAttribute/8029  : 适航批准依据
gid://shopify/TaxonomyAttribute/6987  : 警报音量可调性
gid://shopify/TaxonomyAttribute/2287  : 专辑类型
gid://shopify/TaxonomyAttribute/5290  : 酒精含量
gid://shopify/TaxonomyAttribute/8963  : 酒精墨水表面效果
gid://shopify/TaxonomyAttribute/5679  : 酒精/溶剂含量
gid://shopify/TaxonomyAttribute/1362  : 警报类型
gid://shopify/TaxonomyAttribute/6988  : 对齐辅助样式
gid://shopify/TaxonomyAttribute/1451  : 过敏原信息
gid://shopify/TaxonomyAttribute/1577  : 过敏原测试类型
gid://shopify/TaxonomyAttribute/1631  : 过敏原
gid://shopify/TaxonomyAttribute/3138  : 抗过敏特性
gid://shopify/TaxonomyAttribute/8030  : 交流发电机冷却类型
gid://shopify/TaxonomyAttribute/8031  : 交流发电机船用点火防护等级
gid://shopify/TaxonomyAttribute/8032  : 交流发电机安装配置
gid://shopify/TaxonomyAttribute/8033  : 交流发电机皮带轮类型
gid://shopify/TaxonomyAttribute/8034  : 交流发电机稳压器类型
gid://shopify/TaxonomyAttribute/8035  : 交流发电机端子连接类型
gid://shopify/TaxonomyAttribute/6989  : 海拔适用性
gid://shopify/TaxonomyAttribute/8036  : 救护车担架安装类型
gid://shopify/TaxonomyAttribute/6990  : 美式橄榄球安全认证
gid://shopify/TaxonomyAttribute/5126  : 氨基酸亚型
gid://shopify/TaxonomyAttribute/1800  : 扩音器类
gid://shopify/TaxonomyAttribute/2690  : 放大器配置
gid://shopify/TaxonomyAttribute/8964  : 扩音器电子管功能
gid://shopify/TaxonomyAttribute/1808  : 放大器/助力器适用地点
gid://shopify/TaxonomyAttribute/5088  : 截肢水平
gid://shopify/TaxonomyAttribute/8965  : 模拟合成器 CV/Gate 输入/输出
gid://shopify/TaxonomyAttribute/8966  : 模拟合成器键盘配置
gid://shopify/TaxonomyAttribute/5100  : 测量的分析物
gid://shopify/TaxonomyAttribute/4998  : 变形压缩比
gid://shopify/TaxonomyAttribute/5043  : 显示的解剖细节
gid://shopify/TaxonomyAttribute/6991  : 锚点配置
gid://shopify/TaxonomyAttribute/1258  : 锚类型
gid://shopify/TaxonomyAttribute/2198  : 风速计应用
gid://shopify/TaxonomyAttribute/1883  : 支持的角度
gid://shopify/TaxonomyAttribute/1289  : 钓鱼器具款式
gid://shopify/TaxonomyAttribute/5692  : 包含的动物护理套装配件
gid://shopify/TaxonomyAttribute/2550  : 动物饲料型
gid://shopify/TaxonomyAttribute/7612  : 动物饲养方法
gid://shopify/TaxonomyAttribute/6340  : 动物物种
gid://shopify/TaxonomyAttribute/6992  : 捕兽夹夹口样式
gid://shopify/TaxonomyAttribute/6993  : 捕猎工具类型
gid://shopify/TaxonomyAttribute/1308  : 动物类型
gid://shopify/TaxonomyAttribute/6994  : 鞋帮领口样式
gid://shopify/TaxonomyAttribute/6995  : 护踝防护等级
gid://shopify/TaxonomyAttribute/6996  : 脚踝带衬垫类型
gid://shopify/TaxonomyAttribute/6997  : 脚踝绑带类型
gid://shopify/TaxonomyAttribute/5519  : 答录机类型
gid://shopify/TaxonomyAttribute/6341  : 蚂蚁农场栖息地介质类型
gid://shopify/TaxonomyAttribute/6342  : 蚂蚁农场套件内容
gid://shopify/TaxonomyAttribute/6343  : 蚂蚁农场照明类型
gid://shopify/TaxonomyAttribute/5587  : 天线射频连接器类型
gid://shopify/TaxonomyAttribute/5511  : 天线连接器类型
gid://shopify/TaxonomyAttribute/8037  : 天线适配类型
gid://shopify/TaxonomyAttribute/1828  : 天线类型
gid://shopify/TaxonomyAttribute/8038  : 抗荷服气囊材料
gid://shopify/TaxonomyAttribute/8039  : 抗荷服连接器类型
gid://shopify/TaxonomyAttribute/8040  : 抗荷服充气方法
gid://shopify/TaxonomyAttribute/8041  : 抗荷服尺码体系
gid://shopify/TaxonomyAttribute/3340  : 抗衰老护肤品类型
gid://shopify/TaxonomyAttribute/7613  : 抗结块剂
gid://shopify/TaxonomyAttribute/5305  : 止汗剂强度等级
gid://shopify/TaxonomyAttribute/6998  : 防逆转类型
gid://shopify/TaxonomyAttribute/8042  : 防盗功能
gid://shopify/TaxonomyAttribute/5056  : 检测的抗体类别
gid://shopify/TaxonomyAttribute/2710  : 防冻液类型
gid://shopify/TaxonomyAttribute/4680  : 古董车设计
gid://shopify/TaxonomyAttribute/8967  : 古董枪点火系统
gid://shopify/TaxonomyAttribute/4679  : 古董车时代
gid://shopify/TaxonomyAttribute/7614  : 苹果品种
gid://shopify/TaxonomyAttribute/5501  : 电器板功能
gid://shopify/TaxonomyAttribute/5500  : 电器单元位置
gid://shopify/TaxonomyAttribute/1316  : 应用方法
gid://shopify/TaxonomyAttribute/5149  : 应用类型
gid://shopify/TaxonomyAttribute/5258  : 涂抹器形式
gid://shopify/TaxonomyAttribute/1639  : 涂抹器材质
gid://shopify/TaxonomyAttribute/3344  : 敷抹器类型
gid://shopify/TaxonomyAttribute/8968  : 贴花边缘处理
gid://shopify/TaxonomyAttribute/2314  : 贴花/贴片形状
gid://shopify/TaxonomyAttribute/5693  : 围裙特点
gid://shopify/TaxonomyAttribute/5694  : 围裙款式
gid://shopify/TaxonomyAttribute/2980  : 水族箱过滤器特点
gid://shopify/TaxonomyAttribute/1708  : 水族箱光谱
gid://shopify/TaxonomyAttribute/3228  : 水族箱溢流盒设计
gid://shopify/TaxonomyAttribute/5695  : 水生植物的生长习性
gid://shopify/TaxonomyAttribute/5696  : 凉亭顶部设计
gid://shopify/TaxonomyAttribute/6999  : 线轮类型
gid://shopify/TaxonomyAttribute/7000  : 射箭配件类型
gid://shopify/TaxonomyAttribute/1302  : 射箭活动
gid://shopify/TaxonomyAttribute/2888  : 包含射箭设备
gid://shopify/TaxonomyAttribute/7001  : 射箭部件类型
gid://shopify/TaxonomyAttribute/7002  : 射箭场配件类型
gid://shopify/TaxonomyAttribute/1303  : 射箭器具款式
gid://shopify/TaxonomyAttribute/7003  : 箭靶特点
gid://shopify/TaxonomyAttribute/4365  : 箭靶类型
gid://shopify/TaxonomyAttribute/7004  : 射箭工具类型
gid://shopify/TaxonomyAttribute/7005  : 臂环特点
gid://shopify/TaxonomyAttribute/7006  : 护臂样式
gid://shopify/TaxonomyAttribute/8043  : 装甲防护类型
gid://shopify/TaxonomyAttribute/6863  : 扶手可调性
gid://shopify/TaxonomyAttribute/6864  : 扶手类型
gid://shopify/TaxonomyAttribute/2496  : 安排
gid://shopify/TaxonomyAttribute/7008  : 箭矢组件类型
gid://shopify/TaxonomyAttribute/7009  : 箭矢包覆程度
gid://shopify/TaxonomyAttribute/2883  : 箭羽材质
gid://shopify/TaxonomyAttribute/7010  : 箭羽方向
gid://shopify/TaxonomyAttribute/7011  : 箭尾槽尺寸
gid://shopify/TaxonomyAttribute/7012  : 箭尾类型
gid://shopify/TaxonomyAttribute/7013  : 箭托样式
gid://shopify/TaxonomyAttribute/7014  : 箭杆兼容性
gid://shopify/TaxonomyAttribute/2969  : 箭头/螺栓材质
gid://shopify/TaxonomyAttribute/7007  : 箭头/弩箭头类型
gid://shopify/TaxonomyAttribute/2299  : 艺术品固定剂使用方法
gid://shopify/TaxonomyAttribute/8970  : 艺术墨水耐光性等级
gid://shopify/TaxonomyAttribute/8971  : 艺术墨水不透明度
gid://shopify/TaxonomyAttribute/3429  : 艺术流派
gid://shopify/TaxonomyAttribute/2386  : 艺术风格
gid://shopify/TaxonomyAttribute/2930  : 手工艺工具材料
gid://shopify/TaxonomyAttribute/8969  : 手工艺工具尖端样式
gid://shopify/TaxonomyAttribute/7615  : 洋蓟切法
gid://shopify/TaxonomyAttribute/7616  : 洋蓟品种
gid://shopify/TaxonomyAttribute/8972  : 关节特性
gid://shopify/TaxonomyAttribute/7016  : 人造饵料形式
gid://shopify/TaxonomyAttribute/3430  : 艺术品真实性
gid://shopify/TaxonomyAttribute/2796  : 艺术品框架材料
gid://shopify/TaxonomyAttribute/2666  : 艺术品类型
gid://shopify/TaxonomyAttribute/7018  : 上升器/下降器类型
gid://shopify/TaxonomyAttribute/5697  : 烟灰缸类型
gid://shopify/TaxonomyAttribute/8044  : 进气方式
gid://shopify/TaxonomyAttribute/12755 : 需要组装
gid://shopify/TaxonomyAttribute/6865  : 组装状态
gid://shopify/TaxonomyAttribute/7019  : 辅助机制
gid://shopify/TaxonomyAttribute/3387  : 辅助制动技术
gid://shopify/TaxonomyAttribute/7617  : 杂交番荔枝培育品种
gid://shopify/TaxonomyAttribute/7020  : 运动护裆尺寸
gid://shopify/TaxonomyAttribute/1737  : 安装方式
gid://shopify/TaxonomyAttribute/844   : 安装选项
gid://shopify/TaxonomyAttribute/7021  : 安装位置
gid://shopify/TaxonomyAttribute/1267  : 安装类型
gid://shopify/TaxonomyAttribute/7022  : 引诱剂气味特征
gid://shopify/TaxonomyAttribute/5698  : 引诱剂类型
gid://shopify/TaxonomyAttribute/1806  : 音频 D/A 转换器 (DAC)
gid://shopify/TaxonomyAttribute/5454  : 音频旁路类型
gid://shopify/TaxonomyAttribute/5592  : 音频磁带类型
gid://shopify/TaxonomyAttribute/8046  : 音频通道配置
gid://shopify/TaxonomyAttribute/1822  : 支持的音频编解码器/格式
gid://shopify/TaxonomyAttribute/5435  : 音频组件外形
gid://shopify/TaxonomyAttribute/1813  : 音频连接
gid://shopify/TaxonomyAttribute/5545  : 音频转换方向
gid://shopify/TaxonomyAttribute/5516  : 音频双工能力
gid://shopify/TaxonomyAttribute/8973  : 音频输入
gid://shopify/TaxonomyAttribute/3309  : 音频混音器类型
gid://shopify/TaxonomyAttribute/6344  : 音频输出
gid://shopify/TaxonomyAttribute/1801  : 音频输出通道
gid://shopify/TaxonomyAttribute/1802  : 音频输出格式
gid://shopify/TaxonomyAttribute/8974  : 音频输出
gid://shopify/TaxonomyAttribute/6345  : 音频播放源
gid://shopify/TaxonomyAttribute/3066  : 音频播放器/录音机功能
gid://shopify/TaxonomyAttribute/1818  : 音频用途
gid://shopify/TaxonomyAttribute/5591  : 音频回传通道支持
gid://shopify/TaxonomyAttribute/5607  : 音频信号配置
gid://shopify/TaxonomyAttribute/5417  : 音频系统
gid://shopify/TaxonomyAttribute/1803  : 音频技术
gid://shopify/TaxonomyAttribute/3074  : 音频/扫描转换功能
gid://shopify/TaxonomyAttribute/5604  : 音频/视频电缆连接器类型（端 A）
gid://shopify/TaxonomyAttribute/5605  : 音频/视频电缆连接器类型（端 B）
gid://shopify/TaxonomyAttribute/3370  : 身份认证技术
gid://shopify/TaxonomyAttribute/2374  : 真实性
gid://shopify/TaxonomyAttribute/2016  : 自动对焦模式
gid://shopify/TaxonomyAttribute/2613  : 高压灭菌法
gid://shopify/TaxonomyAttribute/8975  : 亲笔签名认证
gid://shopify/TaxonomyAttribute/8976  : 签名格式
gid://shopify/TaxonomyAttribute/2361  : 亲笔签名类型
gid://shopify/TaxonomyAttribute/8047  : 自转旋翼机驾驶舱封闭情况
gid://shopify/TaxonomyAttribute/2583  : 自动化
gid://shopify/TaxonomyAttribute/7023  : 可用射击模式
gid://shopify/TaxonomyAttribute/7618  : 牛油果品种
gid://shopify/TaxonomyAttribute/8977  : 奖项包含个性化定制
gid://shopify/TaxonomyAttribute/2526  : 奖项设计
gid://shopify/TaxonomyAttribute/8978  : 奖项材质
gid://shopify/TaxonomyAttribute/8979  : 奖牌安装/展示类型
gid://shopify/TaxonomyAttribute/2525  : 颁奖场合
gid://shopify/TaxonomyAttribute/8980  : 奖牌牌匾材质
gid://shopify/TaxonomyAttribute/8981  : 获奖丝带佩戴方式
gid://shopify/TaxonomyAttribute/8982  : 奖绶企业标识法
gid://shopify/TaxonomyAttribute/8983  : 获奖丝带材质
gid://shopify/TaxonomyAttribute/8984  : 获奖丝带名次/称号
gid://shopify/TaxonomyAttribute/1426  : 遮阳篷结构类型
gid://shopify/TaxonomyAttribute/2823  : 遮阳篷设计
gid://shopify/TaxonomyAttribute/5699  : 遮阳篷操作类型
gid://shopify/TaxonomyAttribute/7024  : 车轴兼容性
gid://shopify/TaxonomyAttribute/7069  : BB 枪动作类型
gid://shopify/TaxonomyAttribute/7070  : BB 枪口径
gid://shopify/TaxonomyAttribute/7071  : BB 枪零件类型
gid://shopify/TaxonomyAttribute/1836  : BIOS 类型
gid://shopify/TaxonomyAttribute/1759  : 婴儿饮料包装
gid://shopify/TaxonomyAttribute/1758  : 婴儿食品口味
