# Shopify Product Taxonomy - Categories: 2025-03-rc1
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Animale și articole pentru animale de companie
gid://shopify/TaxonomyCategory/ap-1              : Animale și articole pentru animale de companie > Animale vii
gid://shopify/TaxonomyCategory/ap-2              : Animale și articole pentru animale de companie > Articole pentru animale de companie
gid://shopify/TaxonomyCategory/ap-2-1            : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări
gid://shopify/TaxonomyCategory/ap-2-1-1          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Accesorii pentru colivii
gid://shopify/TaxonomyCategory/ap-2-1-1-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Accesorii pentru colivii > Băi păsări pentru colivii
gid://shopify/TaxonomyCategory/ap-2-1-1-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Accesorii pentru colivii > Vase pentru apă și hrană pentru colivii
gid://shopify/TaxonomyCategory/ap-2-1-1-2-1      : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Accesorii pentru colivii > Vase pentru apă și hrană pentru colivii > Vase pentru hrană pentru colivii
gid://shopify/TaxonomyCategory/ap-2-1-1-2-2      : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Accesorii pentru colivii > Vase pentru apă și hrană pentru colivii > Vase pentru apă pentru colivii
gid://shopify/TaxonomyCategory/ap-2-1-1-2-3      : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Accesorii pentru colivii > Vase pentru apă și hrană pentru colivii > Vase combinate pentru apă și hrană pentru colivii
gid://shopify/TaxonomyCategory/ap-2-1-2          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Colivii și suporturi pentru păsări
gid://shopify/TaxonomyCategory/ap-2-1-3          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Hrană pentru păsări
gid://shopify/TaxonomyCategory/ap-2-1-4          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Locuri de joacă pentru păsări
gid://shopify/TaxonomyCategory/ap-2-1-5          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Scări și stinghii pentru păsări
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Scări și stinghii pentru păsări > Scări și trepte
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Scări și stinghii pentru păsări > Leagăne și stinghii
gid://shopify/TaxonomyCategory/ap-2-1-6          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Jucării pentru păsări
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Jucării pentru păsări > Mingi și jucării
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Jucării pentru păsări > Clopote și mărgele
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Jucării pentru păsări > Jucării de mestecat
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Jucării pentru păsări > Jucării pentru hrană
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Jucării pentru păsări > Oglinzi
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Jucării pentru păsări > Puzzle-uri și jucării interactive
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Jucării pentru păsări > Frânghii și noduri
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Jucării pentru păsări > Tuneluri și tuburi
gid://shopify/TaxonomyCategory/ap-2-1-7          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru păsări > Recompense pentru păsări
gid://shopify/TaxonomyCategory/ap-2-2            : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-1          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Hrană pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Hrană pentru pisici > Hrană pentru pisici fără prescripție medicală
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Hrană pentru pisici > Hrană pentru pisici cu prescripție medicală
gid://shopify/TaxonomyCategory/ap-2-2-2          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Mobilier pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Mobilier pentru pisici > Apartamente și căsuțe pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Mobilier pentru pisici > Stinghii și rafturi pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Mobilier pentru pisici > Covorașe și stâlpi pentru ascuțit ghearele
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Mobilier pentru pisici > Scări și rampe pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Mobilier pentru pisici > Copaci și turnuri pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Mobilier pentru pisici > Paturi și stinghii pentru ferestre pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Mobilier pentru pisici > Căsuțe pentru pisici în aer liber
gid://shopify/TaxonomyCategory/ap-2-2-3          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Accesorii pentru mobilier pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-4          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Așternut pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Așternut pentru pisici > Căptușeli pentru litiere pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Așternut pentru pisici > Covorașe pentru litiere pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Așternut pentru pisici > Litiere pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-5          : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Animale și articole pentru animale de companie > Articole pentru animale de companie > Articole pentru pisici > Jucării pentru pisici > Mingi și jucării pentru vânătoare
